20220930	10:13:04	b2693955-d058-4497-8055-d2ce05c7050a	/index	GET
20220930	10:13:04	e39e99fd-bdc4-4e08-89b4-6489e54c6000	/favicon.ico	GET
20220930	10:13:09	a90b9921-37dd-463c-812b-10820409eec6	/	GET
20220930	10:13:19	3b1aad64-b6f1-40a0-8970-6fc8da87d82c	/	GET
20220930	10:13:24	6a1dcebb-c640-4003-b501-1149185567b2	/new	GET
20220930	10:13:32	ee5328b2-5547-4876-8e94-ac747b0b27cb	/new-page	GET
20220930	10:13:52	94d846ba-2ba5-4f39-825c-90f136513338	/new-page	GET
20220930	10:14:00	4cd92927-929c-4c79-b2bd-3f3462b0a369	/new-page	GET
20220930	10:16:13	a50bbd8e-2340-4c6d-bede-12208697069d	/new-page	GET
20220930	10:16:50	a8b999f2-5be6-48aa-a75e-ec4dbfacf6c0	/new-page	GET
 20220930	12:05:52	86ecd132-2b5c-4273-90bd-bc603012215f	OPTIONS	https://www.google.com	/
20220930	12:05:52	fa329893-0a0c-49f7-b419-40e571ab8f88	GET	https://www.google.com	/
20220930	12:14:50	932c5d01-0518-4e59-9a0b-22bb9dcc70dd	GET	undefined	/
20220930	12:14:54	20ae6be6-d87e-4071-8a48-936132006bc9	GET	undefined	/
20220930	12:18:19	d3053801-efd0-4f08-ad13-4e0a118354e0	GET	undefined	/
20220930	12:26:22	fa440fb9-437c-400d-bbac-5941ed8ab9c6	GET	undefined	/
20220930	12:27:02	849c64b5-47b2-4daa-a57f-c6dab66086aa	GET	undefined	/
20220930	12:31:11	728da211-15d2-45e1-9d5c-71b23bb24edb	GET	undefined	/
20220930	12:34:02	493a92ac-8640-4c8c-bd0b-f861da3c4a90	OPTIONS	https://www.google.com	/
20220930	12:34:02	9eae58d5-4b1f-4961-a79d-eb23239b4672	GET	https://www.google.com	/
20220930	12:35:11	6530c486-b498-4a03-b840-e0c1961e38e9	OPTIONS	https://www.google.com	/
20220930	12:35:11	523e8c9c-0948-4d12-92d9-7807be07ee68	GET	https://www.google.com	/
20220930	12:57:49	ba5fcb27-ec53-4ef5-a8f4-f38c109a4c0b	GET	undefined	/
20220930	14:12:40	ae86cef1-9a36-46b5-8318-f2a7f721d09d	GET	undefined	/
20220930	14:14:02	da7da99c-df7e-4f05-9c11-63e39473f1a8	GET	undefined	/
20220930	14:14:02	29325fcc-9486-4a4a-afe7-39492fd3083e	GET	undefined	/css/style.css
20220930	14:16:23	1027b735-575d-453d-a2d2-fc97fb15b6c7	GET	undefined	/
20220930	14:16:23	d9349e3a-a754-49b9-92e8-419a349aa1ba	GET	undefined	/css/style.css
20220930	16:07:36	d6361fcc-8b61-4280-9a3d-f6133cc0b827	GET	undefined	/
20220930	16:07:36	ac1df6a7-f134-4008-845d-8fe554ab1220	GET	undefined	/css/style.css
20220930	16:07:37	1716b4d2-882a-4431-9cba-01744c413980	GET	undefined	/favicon.ico
